productId_type,productId_value,conditionDisplayName,conditionId,country,listingType,buyItNowAvailable,bestOfferEnabled,paymentMethod,expeditedShipping,shippingType,isShippingFree,returnsAccepted,sellingState,endHour,endWeekday
1,157,5,4,20,1,0,0,0,1,3,0,1,0,13,5
0,79,2,0,20,1,0,0,0,1,4,1,1,0,1,4
0,88,5,4,20,0,0,0,0,1,1,0,0,0,22,4
1,157,0,5,20,1,0,0,0,1,3,0,1,0,2,4
1,157,0,5,20,1,0,1,0,1,0,0,0,0,10,5
0,39,5,4,20,0,1,0,0,1,3,0,0,1,22,3
0,19,5,4,20,1,0,1,0,0,4,1,0,1,1,6
1,157,2,0,20,0,0,0,0,1,4,1,0,0,22,4
1,157,0,5,20,0,0,0,0,1,4,1,0,1,22,3
1,157,5,4,20,1,0,0,0,1,3,0,1,0,23,3
0,37,5,4,20,0,0,0,0,1,4,1,0,0,21,3
0,37,4,3,20,0,0,0,0,1,4,1,0,0,4,5
1,157,5,4,20,0,0,0,0,1,0,0,0,0,21,4
1,157,5,4,20,0,0,0,0,0,3,0,0,0,21,4
1,157,5,4,20,1,0,0,0,1,3,0,1,0,1,4
1,157,2,0,20,1,0,0,0,0,3,0,0,0,1,4
0,16,0,5,20,1,0,0,0,1,2,0,0,0,15,4
0,14,4,3,20,0,0,0,9,1,0,0,0,1,20,3
1,157,5,4,20,1,0,0,0,1,3,0,0,0,2,5
0,80,5,4,20,1,0,0,0,1,4,1,0,0,22,3
1,157,0,5,20,0,0,0,0,1,0,0,0,0,21,3
0,37,5,4,20,0,0,0,0,1,4,1,0,0,20,3
0,80,2,0,20,1,0,0,0,0,4,1,0,0,16,4
0,8,5,4,20,1,0,0,0,1,4,1,1,0,2,6
